book_id,book_authors,book_desc,book_edition,book_format,book_isbn,book_pages,book_rating,book_rating_count,book_review_count,book_title,genres,image_url,book_price
543,Sarah J. Maas,"Celaena has survived deadly contests and shattering heartbreak―but at an unspeakable cost. Now, she must travel to a new land to confront her darkest truth . . . a truth about her heritage that could change her life―and her future―forever. Meanwhile, brutal and monstrous forces are gathering on the horizon, intent on enslaving her world. Will Celaena find the strength to not only fight her inner demons, but to take on the evil that is about to be unleashed?The bestselling series that has captured readers all over the world reaches new heights in this sequel to the New York Times best-selling Crown of Midnight. Packed with heart-pounding action, fierce new characters, and swoon-worthy romance, this third book will enthrall readers from start to finish.",,Hardcover,9.78E+12,565,4.51,187092,19255,Heir of Fire,Fantasy|Young Adult|Romance,https://images.gr-assets.com/books/1460846511l/20613470.jpg,565
544,Marcel Proust|Simon Vance|Lydia Davis,"Swann's Way tells two related stories, the first of which revolves around Marcel, a younger version of the narrator, and his experiences in, and memories of, the French town Combray. Inspired by the ""gusts of memory"" that rise up within him as he dips a Madeleine into hot tea, the narrator discusses his fear of going to bed at night. He is a creature of habit and dislikes waking up in the middle of the night not knowing where he is.He claims that people are defined by the objects that surround them and must piece together their identities bit by bit each time they wake up. The young Marcel is so nervous about sleeping alone that he looks forward to his mother's goodnight kisses, but also dreads them as a sign of an impending sleepless night. One night, when Charles Swann, a friend of his grandparents, is visiting, his mother cannot come kiss him goodnight. He stays up until Swann leaves and looks so sad and pitiful that even his disciplinarian father encourages ""Mamma"" to spend the night in Marcel's room.",,Paperback,9.78E+12,468,4.14,36503,2746,Swann's Way,Classics|Fiction|Cultural|France|Literature|European Literature|French Literature,https://images.gr-assets.com/books/1452956236l/12749.jpg,468
545,Stephen King,"Sometimes dead is better....When the Creeds move into a beautiful old house in rural Maine, it all seems too good to be true: physician father, beautiful wife, charming little daughter, adorable infant son -- and now an idyllic home. As a family, they've got it all...right down to the friendly cat. But the nearby woods hide a blood-chilling truth -- more terrifying than death itself...and hideously more powerful.",,Paperback,9.78E+12,576,3.93,322216,6970,Pet Sematary,Horror|Fiction|Thriller|Fantasy|Fantasy|Paranormal|Fantasy|Supernatural|Suspense|Adult|Horror|Zombies|Mystery,https://images.gr-assets.com/books/1308894674l/10583.jpg,576
546,Susan Ee,"It's been six weeks since angels of the apocalypse descended to demolish the modern world. Street gangs rule the day while fear and superstition rule the night. When warrior angels fly away with a helpless little girl, her seventeen-year-old sister Penryn will do anything to get her back.Anything, including making a deal with an enemy angel.Raffe is a warrior who lies broken and wingless on the street. After eons of fighting his own battles, he finds himself being rescued from a desperate situation by a half-starved teenage girl.Traveling through a dark and twisted Northern California, they have only each other to rely on for survival. Together, they journey toward the angels' stronghold in San Francisco where she'll risk everything to rescue her sister and he'll put himself at the mercy of his greatest enemies for the chance to be made whole again.",,Kindle Edition,,288,4.17,142765,14720,Angelfall,Fantasy|Young Adult|Paranormal|Angels|Fantasy|Paranormal|Science Fiction|Dystopia,https://images.gr-assets.com/books/1464206558l/15863832.jpg,288
547,Deborah Harkness,"Deep in the stacks of Oxford's Bodleian Library, young scholar Diana Bishop unwittingly calls up a bewitched alchemical manuscript in the course of her research. Descended from an old and distinguished line of witches, Diana wants nothing to do with sorcery; so after a furtive glance and a few notes, she banishes the book to the stacks. But her discovery sets a fantastical underworld stirring, and a horde of daemons, witches, and vampires soon descends upon the library. Diana has stumbled upon a coveted treasure lost for centuries-and she is the only creature who can break its spell.",,Hardcover,9.78E+12,579,3.99,278582,27809,A Discovery of Witches,Fantasy|Fiction|Fantasy|Paranormal|Romance|Paranormal|Vampires|Paranormal|Witches,https://images.gr-assets.com/books/1525097370l/8667848.jpg,579
548,Thomas Hardy|Rosemarie Morgan|Shannon Russell,"Librarian note: an alternate cover for this edition can be found here.Independent and spirited Bathsheba Everdene has come to Weatherbury to take up her position as a farmer on the largest estate in the area. Her bold presence draws three very different suitors: the gentleman-farmer Boldwood, soldier-seducer Sergeant Troy and the devoted shepherd Gabriel Oak. Each, in contrasting ways, unsettles her decisions and complicates her life, and tragedy ensues, threatening the stability of the whole community. The first of his works set in Wessex, Hardy's novel of swift passion and slow courtship is imbued with his evocative descriptions of rural life and landscapes, and with unflinching honesty about sexual relationships.",Penguin Classics,Paperback,9.78E+12,433,3.93,109634,4881,Far From the Madding Crowd,Classics|Fiction|Romance|Literature|19th Century,https://images.gr-assets.com/books/1388279695l/31463.jpg,433
549,Melissa Marr,"Rule #3: Don't stare at invisible faeries.Aislinn has always seen faeries. Powerful and dangerous, they walk hidden in the mortal world. Aislinn fears their cruelty - especially if they learn of her Sight - and wishes she were as blind to their presence as other teens.Rule #2: Don't speak to invisible faeries.Now faeries are stalking her. One of them, Keenan, who is equal parts terrifying and alluring, is trying to talk to her, asking questions Aislinn is afraid to answer.Rule #1: Don't ever attract their attention.But it's too late. Keenan is the Summer King, who has sought his queen for nine centuries. Without her, summer itself will perish. He is determined that Aislinn will become the Summer Queen at any cost — regardless of her plans or desires.Suddenly none of the rules that have kept Aislinn safe are working anymore, and everything is on the line: her freedom; her best friend, Seth; her life; everything.Faery intrigue, mortal love, and the clash of ancient rules and modern expectations swirl together in Melissa Marr's stunning twenty-first-century faery tale.",1st Edition,Hardcover,9.78E+12,328,3.69,141011,6808,Wicked Lovely,Fantasy|Young Adult|Fantasy|Paranormal|Romance|Fantasy|Urban Fantasy,https://images.gr-assets.com/books/1327814035l/305234.jpg,328
550,Barbara Kingsolver,"Clear-eyed and spirited, Taylor Greer grew up poor in rural Kentucky with the goals of avoiding pregnancy and getting away. But when she heads west with high hopes and a barely functional car, she meets the human condition head-on. By the time Taylor arrives in Tucson, Arizona, she has acquired a completely unexpected child, a three-year-old American Indian girl named Turtle, and must somehow come to terms with both motherhood and the necessity for putting down roots. Hers is a story about love and friendship, abandonment and belonging, and the discovery of surprising resources in apparently empty places.",,Hardcover,9.78E+12,232,3.96,123177,5729,The Bean Trees,Fiction|Contemporary|Novels,https://images.gr-assets.com/books/1443483961l/30868.jpg,232
551,Kiera Cass,"The Selection began with thirty-five girls.Now with the group narrowed down to the six Elite, the competition to win Prince Maxon's heart is fiercer than ever—and America is still struggling to decide where her heart truly lies. Is it with Maxon, who could make her life a fairy tale? Or with her first love, Aspen?America is desperate for more time. But the rest of the Elite know exactly what they want—and America's chance to choose is about to slip away.",,Hardcover,9.78E+12,336,4.02,316602,24178,The Elite,Young Adult|Romance|Science Fiction|Dystopia|Fantasy,https://images.gr-assets.com/books/1391454595l/16248068.jpg,336
552,Jhumpa Lahiri,"Navigating between the Indian traditions they've inherited and the baffling new world, the characters in Jhumpa Lahiri's elegant, touching stories seek love beyond the barriers of culture and generations. In ""A Temporary Matter,"" published in The New Yorker, a young Indian-American couple faces the heartbreak of a stillborn birth while their Boston neighborhood copes with a nightly blackout. In the title story, an interpreter guides an American family through the India of their ancestors and hears an astonishing confession. Lahiri writes with deft cultural insight reminiscent of Anita Desai and a nuanced depth that recalls Mavis Gallant.",,Paperback,9.78E+12,198,4.13,140097,9139,Interpreter of Maladies,Short Stories|Fiction|Cultural|India,https://images.gr-assets.com/books/1442586143l/5439.jpg,198
553,Laura Ingalls Wilder|Garth Williams,"The adventures continue for Laura Ingalls and her family as they leave their little house in the Big Woods of Wisconsin and set out for the big skies of the Kansas Territory. They travel for many days in their covered wagon until they find the best spot to build their house. Soon they are planting and plowing, hunting wild ducks and turkeys, and gathering grass for their cows. Just when they begin to feel settled, they are caught in the middle of a dangerous conflict.",,Paperback,9.78E+12,335,4.19,225532,3662,Little House on the Prairie,Classics|Childrens|Fiction|Young Adult|Historical,https://images.gr-assets.com/books/1441903581l/77767.jpg,335
